      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 14   00:37:31  3524      0   00:51:08  1831      0
 13   00:14:26  3108      0          -     -      -
 12   00:16:42  2191      0          -     -      -
 11   01:07:18  5603      0          -     -      -
 10   00:09:22  2001      0          -     -      -
  9   00:04:45   384      0   00:12:05   743      0
  8   00:06:50  1029      0   00:35:52  3912      0
  7   00:49:02  4462      0   01:00:59  3345      0
  6   00:03:22   329      0   00:12:01  1663      0
  5   00:17:33  3051      0   00:22:34  2626      0
  4   00:20:29  4113      0   00:31:10  1388      0
  3   00:04:55   659      0   00:07:37   435      0
  2   00:08:47  1876      0   00:19:08  2888      0
  1   00:13:52  2495      0   00:14:42  2062      0
